"γ(t) - DE","α1(t)×β1(t)","POF IE11","POF IE01","POF IE10","POF IE00"
85.6,35.1,83.15,83.15,82.65,82.65
93.25,73.6,90.6,90.7,91.4,91.45
90.7,70,77.55,81.7,78.1,79.75
92.95,89.5,83.8,86.85,88.2,85.7
94,94.3,93.8,92.85,92.85,93.5
93.7,94.2,94.2,94.25,94.45,94.05
94.8,94.65,94.65,93.8,94.85,94.5
95,94.9,94.95,95,95.4,94.75
95.25,94.45,95.65,94.15,95.3,95.1
95.3,94.6,95.65,95.2,95.35,95.4
94.95,94.45,95.3,95.1,95.1,94.85
95.55,94.4,95.55,95.5,94.45,93.95
95.6,94.35,94.6,93.5,93.3,94.65
95.7,94.9,94.35,92.9,94.2,94.05
96.1,95.15,94.35,94.5,94.35,94.95
96.15,94.4,95.15,94.6,95.15,95
95.9,93.8,94.85,93.85,95.35,94.1
95.5,93.55,93.7,94.05,94.1,94.05
95.25,92.95,92.8,94.15,93,92.65
94.8,93.15,93.15,94.3,93.45,93.3
