"α1(t)×β1(t)","POF IE11","POF IE01","POF IE10","POF IE00"
90.6,77.5,90.9,85.6,90.9
93.7,91.75,94.85,94.1,94.55
95,82.1,90.35,85.6,88.4
95.1,84.95,90.85,87.5,88.6
94.25,91.3,93.25,92.75,92.35
94,93.85,93.75,93.55,93.7
94.55,94.9,94.65,95.15,94.55
95.55,95.65,95.5,96.15,95.35
95.5,96,95.35,95.95,95.45
95.4,96.05,95.35,95.75,95.35
95,95.25,95.5,95.4,94.9
94.85,94.3,95.05,94.5,95.1
95.5,93.25,93.95,93.95,93.65
95.4,93,93.45,93.55,93.65
95.7,93.3,94.05,95,93.75
95,94.15,94.95,95.15,94.3
95.2,94.85,95.1,95.55,95
94.25,95.05,95,95.35,94.8
94.15,95.25,94.7,94.6,94.55
93.85,95.05,94.65,94.8,94.85
