"γ(t) - DE","α1(t)×β1(t)","POF OIE11","POF OIE01","POF OIE10","POF OIE00","POF IES11","POF IES01","POF IES10","POF IES00","POF IENS11","POF IENS01","POF IENS10","POF IENS00"
93.95,92.15,99.4,99.4,99.85,99.85,96.75,96.75,95.3,95.3,96.35,96.35,96.05,96.05
99.7,99,100,100,100,100,94.1,94.95,93.75,94.15,92.15,92.2,93.6,93.05
99.65,98.3,100,100,100,100,93.5,95.55,90.8,94,87.8,91.8,88.2,89.15
99.7,99.55,100,100,100,100,96.95,96.85,96.2,97.05,93.8,93.15,96,94.25
99.5,99.9,100,100,100,100,98.8,98.45,96.85,98.95,97.95,97.45,96.45,98.1
99.6,99.85,100,100,100,100,98.7,98.55,96.55,98.75,97.85,97.25,96.6,98
99.55,99.85,99.95,100,99.95,99.95,99.55,99.05,98.4,99.65,98.55,98.35,98.4,98.85
99.75,99.9,100,100,100,100,99.15,98.95,98.35,99.35,98.55,98.4,98.5,98.7
99.75,99.9,100,100,100,100,98.9,99.3,96.7,99.1,98.1,98.3,96.2,98.45
99.85,99.8,100,100,100,100,98.8,98.8,96.85,98.85,98.15,97.95,96.7,98.3
99.8,99.8,100,100,100,100,99.05,99.1,98.2,99.25,98.35,97.65,97.7,98.2
99.75,99.85,100,100,100,100,99,99.2,97.45,99.1,98.6,97.85,96.95,98.6
99.85,99.75,100,100,99.95,100,98.75,99.3,97.15,98.85,98.2,97.7,97.4,98.5
99.9,99.9,100,100,100,100,99.15,98.4,97.4,99.1,98.25,96.7,97.25,98.35
99.85,99.95,100,100,100,100,98.65,98.5,96.6,98.85,98.25,97.25,97.05,98.35
99.9,99.95,100,100,100,100,98.6,99.25,96.85,98.65,97.95,98.2,97.35,98
99.7,99.85,99.9,99.9,99.9,99.95,98.05,96.15,95.35,98.15,96.95,93.2,96,97.45
99.7,99.75,100,100,100,100,98,98,96.3,97.9,97.1,96.85,97.8,97.15
99.9,99.75,100,100,100,100,98.1,98.25,97.3,98.3,98.35,97.05,98.7,98.35
99.85,99.9,100,100,100,100,96.3,95.6,93.15,96.45,97.3,92.45,97.6,97.65
