"α1(t)×β1(t)","POF OIE11","POF OIE01","POF OIE10","POF OIE00","POF IES11","POF IES01","POF IES10","POF IES00","POF IENS11","POF IENS01","POF IENS10","POF IENS00"
96.55,100,99.95,99.85,100,97.6,99.6,99.6,99.05,96.45,99.45,99.8,99.25
95.8,100,100,100,100,70.25,87.7,93.15,83.3,51.3,72.65,93.9,72.45
91.45,100,100,100,100,52.3,76.6,77.8,63.6,21.25,40.95,75.65,37.2
95.95,100,100,100,100,69.75,85.7,82.45,74.8,37.7,48.35,82.5,46.4
98.9,100,100,100,100,84.85,93.35,89.25,85.75,68.3,68.65,91.85,69.45
99.15,100,100,100,100,88.3,94.7,89.9,88.85,74.65,74.75,93.7,75.85
98.85,100,100,100,100,88.65,95.1,90.05,89.6,76.2,75.9,92.8,77
98.9,100,100,100,100,89.2,96.25,89.6,89.1,77.15,76.95,92.75,77.2
98.5,100,100,100,100,89.25,96.3,88.55,89.7,75.3,76.15,92.95,75.7
98.4,100,100,100,100,89.15,96.35,87.95,89.4,76,75.75,93.05,76.4
98.05,100,100,100,100,88.75,95.95,87.95,88.5,76.75,74.85,93.05,76.85
98.3,100,100,100,100,88.25,95.25,88.1,88.65,76.35,72.45,93.3,76.45
98.5,100,99.95,100,100,86.85,94.65,87.45,86.9,75.25,69.5,93.15,75.35
98.6,100,100,100,100,85.7,93.85,85.95,85.9,75.6,67.2,93.15,75.25
98.85,100,100,100,100,83.45,92.3,84.4,83.9,73.1,63.95,93.65,72.9
98.4,100,100,100,100,80.7,90.2,81.55,81.3,67.95,57.1,91.7,67.85
98.25,100,100,100,100,79.55,88.95,79.5,80.5,67.75,54.25,91.85,67.85
98.9,100,100,100,100,81.6,89.15,80.45,81.75,76.85,64.35,93.1,76.85
99.25,100,100,100,100,87.75,91.55,87.25,88.05,88.4,76.85,96.05,87.75
99.7,100,100,100,100,93.4,94.7,92.6,93.2,94.35,86.65,97.85,94.3
